dt,block_number,controller_debt
"October 29, 2023, 5:19 PM","18,457,284","125,109,210.15"
"October 29, 2023, 8:00 PM","18,458,079","125,104,862.5"
"October 30, 2023, 12:00 AM","18,459,269","125,377,431.73"
"October 30, 2023, 4:00 AM","18,460,455","125,158,512.7"
"October 30, 2023, 8:00 AM","18,461,643","126,934,048.41"
"October 30, 2023, 12:00 PM","18,462,836","127,893,258.41"
"October 30, 2023, 4:00 PM","18,464,021","127,765,319.54"
"October 30, 2023, 8:00 PM","18,465,218","127,723,936.17"
"October 31, 2023, 12:00 AM","18,466,408","125,335,218.83"
"October 31, 2023, 4:00 AM","18,467,593","124,881,839.29"
"October 31, 2023, 8:00 AM","18,468,781","125,488,330.39"
"October 31, 2023, 12:00 PM","18,469,969","125,385,635.5"
"October 31, 2023, 4:00 PM","18,471,160","124,623,184.14"
"October 31, 2023, 8:00 PM","18,472,351","124,161,189.84"
"November 1, 2023, 12:00 AM","18,473,543","124,342,090.45"
"November 1, 2023, 4:00 AM","18,474,733","124,346,300.29"
"November 1, 2023, 8:00 AM","18,475,924","124,393,681.88"
"November 1, 2023, 12:00 PM","18,477,111","124,431,763.46"
"November 1, 2023, 4:00 PM","18,478,308","121,072,774.62"
"November 1, 2023, 8:00 PM","18,479,501","121,171,194.05"
"November 2, 2023, 12:00 AM","18,480,694","121,795,693.71"
"November 2, 2023, 4:00 AM","18,481,887","121,547,812.06"
"November 2, 2023, 8:00 AM","18,483,075","120,448,199.9"
"November 2, 2023, 12:00 PM","18,484,257","120,912,894.28"
"November 2, 2023, 4:00 PM","18,485,442","119,299,035.87"
"November 2, 2023, 8:00 PM","18,486,633","119,198,816.88"
"November 3, 2023, 12:00 AM","18,487,825","120,265,061.55"
"November 3, 2023, 4:00 AM","18,489,014","126,269,005.61"
"November 3, 2023, 8:00 AM","18,490,203","126,712,364.92"
"November 3, 2023, 12:00 PM","18,491,394","126,613,571.69"
"November 3, 2023, 4:00 PM","18,492,588","127,284,160.05"
"November 3, 2023, 8:00 PM","18,493,776","128,721,876.97"
"November 4, 2023, 12:00 AM","18,494,964","128,918,473.87"
"November 4, 2023, 4:00 AM","18,496,159","129,279,190.52"
"November 4, 2023, 8:00 AM","18,497,344","129,377,902.36"
"November 4, 2023, 12:00 PM","18,498,532","128,527,393.39"
"November 4, 2023, 4:00 PM","18,499,722","128,603,017.84"
"November 4, 2023, 8:00 PM","18,500,913","121,660,888.48"
"November 5, 2023, 12:00 AM","18,502,099","122,053,631.15"
"November 5, 2023, 4:00 AM","18,503,289","122,327,954.39"
"November 5, 2023, 8:00 AM","18,504,480","123,112,192.78"
"November 5, 2023, 12:00 PM","18,505,668","123,957,186.23"
"November 5, 2023, 4:00 PM","18,506,855","124,417,849.34"
"November 5, 2023, 8:00 PM","18,508,043","124,685,132.31"
"November 6, 2023, 12:00 AM","18,509,233","124,763,866.44"
"November 6, 2023, 4:00 AM","18,510,426","124,866,579.09"
"November 6, 2023, 8:00 AM","18,511,613","124,703,092.76"
"November 6, 2023, 12:00 PM","18,512,801","128,466,430.18"
"November 6, 2023, 4:00 PM","18,513,991","128,805,542.76"
"November 6, 2023, 8:00 PM","18,515,179","129,346,306.77"
"November 7, 2023, 12:00 AM","18,516,373","130,170,938.39"
"November 7, 2023, 4:00 AM","18,517,558","130,799,091.43"
"November 7, 2023, 8:00 AM","18,518,744","130,351,222.41"
"November 7, 2023, 12:00 PM","18,519,937","129,743,927.57"
