dt,block_number,keeper_debt
"August 4, 2024, 3:29 PM","20,456,092","152,684.96"
"August 4, 2024, 4:03 PM","20,456,262","605,998"
"August 4, 2024, 4:10 PM","20,456,297","1,017,887.51"
"August 4, 2024, 4:29 PM","20,456,390","1,413,433.18"
"August 4, 2024, 4:32 PM","20,456,407","1,813,711.22"
"August 4, 2024, 4:38 PM","20,456,434","2,176,590.43"
"August 4, 2024, 5:09 PM","20,456,591","2,776,924.41"
"August 4, 2024, 6:13 PM","20,456,909","4,398,588.81"
"August 4, 2024, 6:19 PM","20,456,939","5,744,873.67"
"August 4, 2024, 6:19 PM","20,456,940","7,188,462.89"
"August 4, 2024, 6:20 PM","20,456,945","8,186,726.4"
"August 4, 2024, 6:29 PM","20,456,991","9,336,375.34"
"August 4, 2024, 6:30 PM","20,456,994","10,457,994.63"
"August 4, 2024, 6:30 PM","20,456,996","11,611,190.45"
"August 4, 2024, 6:30 PM","20,456,997","12,889,464.37"
"August 4, 2024, 6:31 PM","20,456,999","14,004,149.23"
"August 4, 2024, 6:31 PM","20,457,001","14,920,102.92"
"August 4, 2024, 6:32 PM","20,457,002","15,940,687.78"
"August 4, 2024, 6:32 PM","20,457,003","16,846,196.41"
"August 4, 2024, 6:33 PM","20,457,007","17,806,472.48"
"August 4, 2024, 6:33 PM","20,457,008","18,650,161.38"
"August 4, 2024, 6:34 PM","20,457,013","19,494,315.75"
"August 4, 2024, 6:36 PM","20,457,022","20,283,340.17"
"August 4, 2024, 6:36 PM","20,457,025","20,952,840.48"
"August 5, 2024, 1:33 AM","20,459,103","22,706,798.27"
"August 5, 2024, 1:49 AM","20,459,181","23,160,648.55"
"August 5, 2024, 3:06 AM","20,459,568","23,275,071.17"
"August 5, 2024, 3:42 AM","20,459,748","23,397,984.95"
"August 5, 2024, 3:43 AM","20,459,752","24,212,038.43"
"August 5, 2024, 3:43 AM","20,459,753","25,205,003.9"
"August 5, 2024, 3:44 AM","20,459,755","25,457,559.81"
"August 5, 2024, 3:47 AM","20,459,772","25,590,899.05"
"August 5, 2024, 3:48 AM","20,459,775","25,951,309.78"
"August 5, 2024, 3:48 AM","20,459,775","26,466,243.84"
"August 5, 2024, 3:50 AM","20,459,786","26,596,069.48"
"August 5, 2024, 7:42 AM","20,460,943","26,628,594.15"
"August 5, 2024, 7:42 AM","20,460,944","26,636,729.59"
"August 5, 2024, 7:42 AM","20,460,945","26,733,203.57"
"August 5, 2024, 7:44 AM","20,460,956","26,939,595.2"
"August 5, 2024, 7:46 AM","20,460,962","27,199,873.16"
"August 5, 2024, 8:12 AM","20,461,095","27,265,212.86"
"August 5, 2024, 8:13 AM","20,461,096","27,326,280.94"
"August 5, 2024, 8:13 AM","20,461,098","27,459,808.73"
"August 5, 2024, 8:13 AM","20,461,100","27,610,451.47"
"August 5, 2024, 8:29 AM","20,461,176","27,648,201.2"
"August 5, 2024, 8:29 AM","20,461,177","27,657,644.2"
"August 5, 2024, 8:29 AM","20,461,178","27,713,079.41"
"August 5, 2024, 8:29 AM","20,461,179","27,815,055.88"
"August 5, 2024, 8:30 AM","20,461,182","27,940,222.63"
"August 5, 2024, 8:32 AM","20,461,195","28,068,066.03"
"August 5, 2024, 8:33 AM","20,461,197","28,310,172.29"
"August 5, 2024, 8:34 AM","20,461,203","28,581,721.76"
"August 5, 2024, 8:34 AM","20,461,205","28,649,891.28"
"August 5, 2024, 11:58 AM","20,462,217","28,666,951.3"
"August 5, 2024, 12:05 PM","20,462,253","28,671,217.41"
"August 5, 2024, 12:09 PM","20,462,270","28,672,284"
"August 5, 2024, 12:09 PM","20,462,271","28,776,991.28"
"August 5, 2024, 12:09 PM","20,462,273","28,934,943.92"
"August 5, 2024, 12:11 PM","20,462,279","29,132,255.78"
"August 5, 2024, 12:28 PM","20,462,368","29,181,730.05"
"August 5, 2024, 12:29 PM","20,462,369","29,194,107.76"
